Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Thors: Battleworld,Jason Aaron,"Goran Sudžuka, Walt Simonson, Chris Sprouse","",digital,read,2022/08/05,"","",1,"adventurous, mysterious",medium,,,,,,4.25,"","","","",No
The Wise Man's Fear,Patrick Rothfuss,"",9780756404734,hardcover,read,2021/04/13,2021/05/20,2021/04/13-2021/05/20,1,"adventurous, dark, funny, mysterious, sad",medium,Plot,It's complicated,It's complicated,Yes,Yes,4.5,"","","","",Yes
The Dark Tower,Stephen King,"","",digital,read,2016/12/26,2022/01/09,2021/12/06-2022/01/09,1,"dark, mysterious, tense",medium,A mix,Yes,Yes,Yes,Yes,4.25,"","","","",No
Empire of Silence,Christopher Ruocchio,"",9780756413019,paperback,read,2022/12/29,2024/01/12,2024/01/01-2024/01/12,1,"adventurous, dark, reflective",slow,Character,Yes,Yes,No,Yes,4.5,"","","","",Yes
The Reformatory,Tananarive Due,"",9781982188344,hardcover,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
Soul Music,Terry Pratchett,"Peter Serafinowicz (Narrator), Sian Clifford (Narrator), Bill Nighy (Narrator)",B09LZ3YSCL,audio,read,2023/12/08,2024/04/11,2024/04/01-2024/04/11,1,"funny, inspiring",fast,Plot,Yes,Yes,No,No,4.5,"","","","",No
All the Sinners Bleed,S.A. Cosby,"",9781250831910,hardcover,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
Dynasty of Evil,Drew Karpyshyn,"",9780307796066,digital,read,2020/09/20,"","",1,"",,,,,,,4.0,,"",,"",No
Blood of Elves,Andrzej Sapkowski,Danusia Stok (Translator),9780316029193,paperback,read,2017/10/24,2018/05/21,2018/05/21,1,"",,,,,,,4.0,,"",,"",Yes
The Hunger Games,Suzanne Collins,"",9780439023481,hardcover,read,2016/12/26,"","",1,"",,,,,,,4.0,,"",,"",No
Mockingjay,Suzanne Collins,"",9780439023511,hardcover,read,2016/12/26,"","",1,"",,,,,,,2.0,,"",,"",No
The God Delusion,Richard Dawkins,"",9780618680009,hardcover,read,2016/12/26,"","",1,"",,,,,,,4.0,,"",,"",No
Harry Potter and the Goblet of Fire,J.K. Rowling,Mary GrandPré (Illustrator),9780439139601,paperback,read,2016/12/26,"","",1,"",,,,,,,5.0,,"",,"",No
The Shining,Stephen King,"",9780450040184,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
Mother Night,Kurt Vonnegut,"",9780385334143,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
Pale Blue Dot: A Vision of the Human Future in Space,"Carl Sagan, Ann Druyan","",9780345376596,paperback,read,2016/12/26,"","",1,"",,,,,,,5.0,,"",,"",No
Oathbringer,Brandon Sanderson,"",9780765326379,hardcover,read,2017/11/15,2022/07/21,2022/05/16-2022/07/21,1,"adventurous, emotional, inspiring",medium,A mix,Yes,Yes,Yes,Yes,5.0,"","","","",Yes
The Time Of Contempt,Andrzej Sapkowski,David French (Translator),9780575090941,paperback,read,2017/10/24,2018/09/24,2018/09/24,2,"",,,,,,,5.0,,"",,"",Yes
Fahrenheit 451,Ray Bradbury,"",9781451673319,paperback,read,2017/12/10,"","",1,"",,,,,,,4.0,,"",,"",No
"Avengers by Jason Aaron, Vol. 1: The Final Host","David Marquez, Jason Aaron, Ed McGuiness, Ed McGuinness, Sara Pichelli, Andrea Sorrentino","",9781302506513,digital,read,2023/02/10,2023/02/13,2023/02/10-2023/02/13,1,"",,,,,,,,,"",,"",No
The Nightingale,Kristin Hannah,"",0312577222,hardcover,read,2024/05/26,2024/12/29,2024/12/22-2024/12/29,1,"challenging, dark, sad, tense",medium,Character,Yes,Yes,No,Yes,5.0,"","","","",Yes
Secret Wars,Jonathan Hickman,Esad Ribic (Illustrator),9780785198840,hardcover,read,2022/08/05,2022/08/10,2022/08/05-2022/08/10,1,"adventurous, dark, emotional",fast,Plot,Yes,No,Yes,Yes,4.75,"","","","",No
Kindred,Octavia E. Butler,Ayọ̀bámi Adébáyọ̀ (Contributor),9781472258229,paperback,read,2022/01/11,2024/01/19,2024/01/12-2024/01/19,1,"dark, emotional, informative, tense",fast,A mix,It's complicated,It's complicated,Yes,It's complicated,5.0,,"Graphic: Racism, Sexual violence, Slavery; Moderate: Rape, Suicide; ","","",Yes
The Fury of the Gods,John Gwynne,"",9780356514260,hardcover,read,2025/03/17,2025/05/31,2025/05/06-2025/05/31,1,"adventurous, dark, emotional, tense",fast,Plot,Yes,Yes,Yes,Yes,4.5,"","","","",No
Dreams of Fire ,Shauna Lawless,"",9781035902156,digital,read,2026/03/10,2026/03/18,2026/03/10-2026/03/18,1,"",,"","","","","",4.0,"","","","",No
A Shadow in Summer,Daniel Abraham,"",9780765313409,hardcover,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,competence,No
The Power of the Dog,Don Winslow,"",9781400096930,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
Neuromancer,William Gibson,James Warhola (Illustrator),9780441569564,paperback,read,2020/07/14,2024/06/30,2024/06/19-2024/06/30,1,"dark, emotional, tense",fast,Plot,Yes,Yes,No,No,4.5,"","","","",Yes
Norylska Groans,"Michael R. Fletcher, Clayton W. Snyder","",9798725366846,digital,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
The Gathering Storm,"Brandon Sanderson, Robert Jordan","",9781250252609,paperback,read,2024/09/25,2024/10/19,2024/09/25-2024/10/19,1,"",,"","","","","",5.0,"","","","",No
Changes,Jim Butcher,"",9780451463470,paperback,read,2021/07/25,2021/08/19,2021/07/25-2021/08/19,1,"",,"","","","","",5.0,"","","","",No
Troublemaker: Surviving Hollywood and Scientology,Leah Remini,Leah Remini (Narrator),9780451482440,audio,read,2026/02/02,2026/02/07,2026/02/02-2026/02/07,1,"emotional, funny, reflective",,,,,,,4.0,"","","","",No
The Path of Daggers,Robert Jordan,"Kate Reading (Narrator), Michael Kramer (Narrator)",9781427205094,audio,read,2023/12/08,2023/12/19,2023/12/08-2023/12/19,1,adventurous,slow,Plot,No,Yes,No,Yes,3.25,"","","","",No
Berserk Deluxe Volume 5,Kentaro Miura,Duane Johnson (Translator),9781506715223,hardcover,read,2025/10/13,2025/10/10,2025/10/06-2025/10/10,1,"",,,,,,,,,"",,"",No
Consider Phlebas,Iain M. Banks,"",9781857231380,paperback,read,2022/12/21,2025/02/03,2025/01/19-2025/02/03,1,"adventurous, tense",fast,Plot,It's complicated,No,No,No,2.75,"","","","",No
The Pilgrims of Rayne,D.J. MacHale,"",9781416917174,paperback,read,2016/12/26,"","",1,"",,,,,,,5.0,,"",,"",No
The Three-Body Problem,Cixin Liu,Ken Liu (Translator),9780765377067,hardcover,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
Secret Wars,"Gerardo Sandoval, Jim Shooter, Steve Epting, Mike Zeck, Brian Michael Bendis, Ryan Stegman, Ive Svorcina, Chris Eliopoulos, Alex Ross, Paul Renaud, Jonathan Hickman, Hajime Isayama, Sara Pichelli, Clayton Cowles, Esad Ribić, Dale Keown","",,,read,2022/07/12,2023/03/07,2023/03/03-2023/03/07,1,"",,,,,,,,,"",,"",No
The Death of Democracy: Hitler's Rise to Power and the Downfall of the Weimar Republic,Benjamin Carter Hett,Steven Crossley (Narrator),9781427298652,audio,read,2025/01/29,2025/05/06,2025/05/01-2025/05/06,1,"dark, informative, reflective",fast,,,,,,4.0,"","","","",No
Mystic River,Dennis Lehane,"",9780060584757,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
Harry Potter and the Sorcerer's Stone,J.K. Rowling,Mary GrandPré (Illustrator),9780590353427,paperback,read,2016/12/26,"","",1,"",,,,,,,5.0,,"",,"",No
Peace Talks,Jim Butcher,James Marsters (Narrator),9780593290705,audio,read,2021/09/27,2022/02/22,2022/02/17-2022/02/22,1,"",slow,A mix,Yes,Yes,Yes,Yes,4.25,"","","","",No
X-Men: Age of Apocalypse Omnibus,"Jeph Loeb, Larry Hama, Howard Mackie, Mark Waid, Warren Ellis, Scott Lobdell, Ian Churchill, Fabian Nicieza","Tony S. Daniel (Illustrator), Joe Madureira (Illustrator), Ron Garney (Illustrator), Andy Kubert (Illustrator), Roger Cruz (Illustrator)",9781302930028,hardcover,read,2024/10/29,2024/11/03,2024/10/29-2024/11/03,1,"",,,,,,,,,"",,"",No
The Lions of Al-Rassan,Guy Gavriel Kay,"",9780060733490,paperback,read,2022/01/02,2025/12/29,2025/12/15-2025/12/29,1,"challenging, emotional, reflective, sad, tense",medium,Character,Yes,Yes,Yes,Yes,4.5,,"","","",No
The Name of the Wind,Patrick Rothfuss,"",075640407X,hardcover,read,2017/10/24,2021/04/05,2021/03/29-2021/04/05,1,"adventurous, dark, funny, mysterious",medium,Plot,Yes,It's complicated,No,Yes,5.0,"","","","",Yes
The Atlantis Complex,Eoin Colfer,"",9781423128199,hardcover,read,2016/12/26,"","",1,"",,,,,,,4.0,,"",,"",No
Wolverine,"Paul Smith, Frank Miller, Chris Claremont","",9780785178248,digital,read,2023/09/03,"","",1,"",,,,,,,,,"",,"",No
In Cold Blood,Truman Capote,"",9780679745587,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
The Dark Tower: Fall of Gilead,"Robin Furth, Stephen King, Peter David, Richard Isanove","",,hardcover,read,2022/01/28,2022/02/11,2022/01/28-2022/02/11,1,"",,,,,,,,,"",,"",No
There Is No Antimemetics Division,qntm,"",9798514063031,hardcover,read,2026/02/26,2026/04/09,2026/04/01-2026/04/09,1,"dark, emotional, mysterious, tense",fast,Plot,No,It's complicated,No,No,4.75,"","","",cosmic-horror,No
The Way of Kings,Brandon Sanderson,"",9780765326355,hardcover,read,2017/11/06,2022/02/25,2022/01/19-2022/02/25,1,"adventurous, emotional, hopeful, inspiring",slow,Character,Yes,Yes,Yes,Yes,5.0,,"","","",Yes
The Wars of the Roses: The Fall of the Plantagenets and the Rise of the Tudors,Dan Jones,"",9780670026678,hardcover,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
Erak's Ransom,John Flanagan,"",1741662095,paperback,read,2016/12/26,"","",1,"",,,,,,,,,"",,"",No
The Lost Colony,Eoin Colfer,"",0786849568,paperback,read,2016/12/26,"","",1,"",,,,,,,,,"",,"",No
Children of Time,Adrian Tchaikovsky,"",9781447273288,hardcover,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",Yes
The Mercy of Gods,James S.A. Corey,"",9780316525572,hardcover,read,2025/01/02,2025/01/07,2025/01/01-2025/01/07,1,"dark, emotional, tense",medium,Plot,No,No,Yes,No,3.0,"","","",space-opera,No
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"Julian Cihi (Narrator), Jennifer Kim (Narrator)",9780593591635,audio,read,2024/04/02,2024/09/10,2024/09/01-2024/09/10,1,"dark, emotional, reflective",slow,Character,Yes,No,No,Yes,2.0,"<div>It spends so much time belittling so-called ""pretentious"" art when it itself is probably the most pretentious book I've ever read. The first 1/2 was kind of interesting but basi ally as soon as they move to California it's one big slog. It's so hard to root for the main two characters as they can't seem to be able to stand each other. You'd think the story would end with them growing close again but nope.</div>","","","",No
Artificial Wisdom,Thomas R. Weaver,"",9781739434304,hardcover,to-read,2026/04/21,"","",0,"",,,,,,,,,"",,"",No
Malice,John Gwynne,"",9780230758452,hardcover,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
City of Stairs,Robert Jackson Bennett,"",9780804137171,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
"Daredevil by Brian Michael Bendis & Alex Maleev: Ultimate Collection, Book 2",Brian Michael Bendis,Alex Maleev (Illustrator),9780785149507,paperback,read,2025/02/10,2025/02/14,2025/02/10-2025/02/14,1,"dark, emotional, mysterious, tense",fast,Character,It's complicated,It's complicated,No,Yes,4.75,"","","","",No
Ender's Game,Orson Scott Card,"",0765342294,paperback,read,2017/12/10,2023/02/22,2023/02/17-2023/02/22,1,"challenging, emotional, tense",fast,Character,Yes,Yes,No,No,5.0,"","","","",No
Demon in White,Christopher Ruocchio,"",9780756413071,paperback,read,2024/02/06,2024/03/17,2024/02/19-2024/03/17,1,"adventurous, dark, tense",fast,A mix,Yes,Yes,Yes,Yes,5.0,"","","","",Yes
Sharp Objects,Gillian Flynn,"",9780804138321,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
The Book That Held Her Heart,Mark Lawrence,"",9780593437971,hardcover,read,2024/09/27,2025/07/10,2025/06/25-2025/07/10,1,"adventurous, emotional, mysterious, tense",fast,A mix,Yes,Yes,Yes,No,4.0,"","","",time-travel,No
Chrzest ognia,Andrzej Sapkowski,"","",paperback,read,2018/12/09,"","",1,"",,,,,,,,,"",,"",No
The Ark and the Empire,Michael Livingston,"",9781035919161,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
Halt's Peril,John Flanagan,"",9781864715088,digital,read,2016/12/26,"","",1,"",,,,,,,,,"",,"",No
The 7½ Deaths of Evelyn Hardcastle,Stuart Turton,"",9781492670124,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,time-travel,No
Witches Abroad,Terry Pratchett,"Indira Varma (Narrator), Bill Nighy (Narrator), Peter Serafinowicz (Narrator)","",audio,read,2022/06/16,2022/07/05,2022/06/15-2022/07/05,1,"adventurous, funny, reflective",medium,Character,Yes,Yes,Yes,Yes,4.5,"","","","",No
How to Defeat a Demon King in Ten Easy Steps,Andrew Rowe,"Suzy Jackson (Narrator), Steve West (Narrator)",9781713606499,audio,read,2020/10/29,"","",1,"",,"","","","","",4.5,,"","","",No
Endurance: Shackleton's Incredible Voyage,Alfred Lansing,"",9780786706211,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"competence, survival",No
The Lesser Devil,Christopher Ruocchio,"",B0852RDGDH,digital,read,2024/08/06,2024/08/07,2024/08/05-2024/08/07,1,"dark, emotional, reflective, tense",fast,A mix,Yes,No,No,Yes,4.0,"","","","",No
Inside Man,K.J. Parker,"",9781250786142,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,competence,No
The Carpet Makers,Andreas Eschbach,Doryl Jensen (Translator),9780765314901,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
Blood of the Kami,Baptiste Pinson Wu,"",9784991276880,hardcover,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"self-pub, non-western-fantasy, monster-hunting",No
Last Argument of Kings,Joe Abercrombie,Steven Pacey (Narrator),B014LLWLKU,audio,read,2024/05/30,2024/06/25,2024/05/30-2024/06/25,1,"adventurous, dark, funny, tense",fast,A mix,Yes,No,Yes,Yes,4.75,"","","","",No
Senlin Ascends,Josiah Bancroft,"",9780316517911,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
Wounds: Six Stories from the Border of Hell,Nathan Ballingrud,"",9781534449923,hardcover,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
Returns,Mark Lawrence,"",B0CTYNQGBX,digital,read,2024/04/10,"","",1,"mysterious, reflective",slow,Plot,No,No,No,No,3.5,"","","","",No
World War Z: An Oral History of the Zombie War,Max Brooks,"","",paperback,read,2021/01/25,"","",1,"",,,,,,,,,"",,"",No
Dune,Frank Herbert,"",9780593099322,hardcover,read,2016/12/26,2023/10/14,2023/08/27-2023/10/14,1,"adventurous, challenging, dark, tense",slow,A mix,Yes,No,No,Yes,3.75,"","","","",Yes
Ghost Story,Jim Butcher,"",9780451463791,hardcover,read,2021/09/03,2021/10/02,2021/09/02-2021/10/02,1,"",,"","","","","",4.5,"","","","",No
The Citadel of the Autarch,Gene Wolfe,"",9780671452513,hardcover,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
The Gone World,Tom Sweterlitsch,"",9780399167508,hardcover,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,time-travel,No
The Shadow of the Gods,John Gwynne,"",9780316539883,paperback,read,2021/01/15,2025/03/16,2025/02/22-2025/03/16,2,"adventurous, tense",fast,Plot,No,Yes,No,No,3.75,"","","",epic,Yes
"Beginnings, Volume 5: The Battle of Jericho Hill","Robin Furth, Jae Lee, Peter David",Stephen King,9781982108298,hardcover,read,2022/02/11,2022/02/22,2022/02/11-2022/02/22,1,"",,,,,,,,,"",,"",No
I Who Have Never Known Men,Jacqueline Harpman,"Ros Schwartz (Translator), Sophie Mackintosh (Contributor)",9781529111798,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,post-apocalyptic,No
Sherlock Holmes: The Definitive Collection,Arthur Conan Doyle,Stephen Fry (Narrator),B06X3XG5Y6,audio,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
The Time Paradox,Eoin Colfer,"",B0DSZPB762,hardcover,read,2016/12/26,"","",1,"",,,,,,,,,"",,"",No
Skunk Works: A Personal Memoir of My Years at Lockheed,"Leo Janos, Ben R. Rich","",,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",Yes
Artificial Condition,Martha Wells,Kevin R. Free (Narrator),9781501977831,audio,read,2022/03/26,2022/03/31,2022/03/26-2022/03/31,1,"",fast,Character,No,Yes,Yes,Yes,4.5,"","","","",No
The Children of Gods and Fighting Men,Shauna Lawless,"",9781803282602,digital,read,2026/02/26,2026/03/09,2026/02/26-2026/03/09,1,"adventurous, informative",,"","","","","",4.0,,"","","",No
All Systems Red,Martha Wells,Kevin R. Free (Narrator),9781501977824,audio,read,2020/08/10,2022/03/25,2022/03/23-2022/03/25,1,"adventurous, funny",fast,Character,No,Yes,No,Yes,4.0,"","","","",Yes
Lonesome Dove,Larry McMurtry,Lee Horsley (Narrator),"",audio,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
Dissolution,Nicholas Binge,"",9780593852163,hardcover,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
The Great Hunt,Robert Jordan,"Michael Kramer (Narrator), Kate Reading (Narrator)",B00026WUOG,audio,read,2022/01/01,2022/12/31,2022/11/21-2022/12/31,1,"adventurous, tense",fast,A mix,Yes,Yes,Yes,Yes,4.75,"","","","",No
Arcanum Unbounded: The Cosmere Collection,Brandon Sanderson,"",9780765391162,hardcover,read,2020/07/26,2022/05/16,2022/02/25-2022/05/16,1,"",,,,,,,,,"",,"",Yes
Cat's Cradle,Kurt Vonnegut,"",9780140285604,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
Feet of Clay,Terry Pratchett,"Peter Serafinowicz (Narrator), Jon Culshaw (Narrator), Bill Nighy (Narrator)",9781473588639,audio,read,2025/07/28,2025/08/13,2025/07/28-2025/08/13,1,"funny, lighthearted, mysterious, tense",fast,A mix,Yes,Yes,Yes,No,4.25,"","","","",No
Specter of the Past,Timothy Zahn,"","",paperback,read,2016/12/26,"","",1,"",,,,,,,4.0,,"",,"",No
Say Nothing: A True Story of Murder and Memory in Northern Ireland,Patrick Radden Keefe,"",9780385521314,hardcover,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
Do Androids Dream of Electric Sheep?,Philip K. Dick,"",1568658559,hardcover,read,2021/12/31,2024/07/08,2024/07/08-2024/07/08,1,"dark, mysterious, reflective, tense",fast,Plot,Yes,It's complicated,No,Yes,4.75,"","","","",No
The Blade Itself,Joe Abercrombie,Steven Pacey (Narrator),9781478935780,audio,read,2019/05/22,2024/05/05,2024/04/17-2024/05/05,1,"dark, funny",medium,Character,Yes,No,Yes,Yes,4.0,"","","","",Yes
How to Avoid a Climate Disaster: The Solutions We Have and the Breakthroughs We Need,Bill Gates,"","",,read,2021/05/11,2021/06/29,2021/05/11-2021/06/29,1,"",,,,,,,,,"",,"",No
The Last Command,Timothy Zahn,"",9880553564921,paperback,read,2016/12/26,"","",1,"",,,,,,,5.0,,"",,"",No
Path of Destruction,Drew Karpyshyn,"",9780345477361,hardcover,read,2020/09/20,"","",1,"",,,,,,,5.0,,"",,"",No
They Mostly Come Out at Night,Benedict Patrick,"",B01DL8S8F6,digital,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,self-pub,No
Raven's Gate,Anthony Horowitz,"",9780439680097,paperback,read,2016/12/26,"","",1,"",,,,,,,,,"",,"",No
Eagle Strike,Anthony Horowitz,"",0142406139,paperback,read,2016/12/26,"","",1,"",,,,,,,,,"",,"",No
Wind and Truth,Brandon Sanderson,"",9781399601313,hardcover,read,2024/12/09,2024/12/18,2024/12/06-2024/12/18,1,"adventurous, dark, emotional, hopeful, tense",fast,Character,Yes,Yes,Yes,It's complicated,4.75,,"","","",Yes
City of Vengeance,D.V. Bishop,"",9781529038781,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
Making History,K.J. Parker,"",9781250835789,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
Blood Meridian,Cormac McCarthy,"",9780330544580,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
Onyx Storm,Rebecca Yarros,"",9781649377159,hardcover,to-read,2026/02/27,"","",0,"",,,,,,,,,"",,"",No
Yumi and the Nightmare Painter,Brandon Sanderson,Aliya Chen (Illustrator),9781250899699,hardcover,read,2023/08/14,2023/08/27,2023/08/14-2023/08/27,1,"adventurous, emotional, tense",fast,Character,Yes,Yes,No,Yes,4.5,,"","","",Yes
Shadows Upon Time,Christopher Ruocchio,"",9780756420000,hardcover,read,2025/10/01,2025/12/14,2025/11/18-2025/12/14,1,"adventurous, dark, emotional, inspiring, mysterious",fast,A mix,Yes,Yes,Yes,Yes,5.0,"","","","",No
Ordinary Men,Christopher R. Browning,"",9780060995065,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
The Angel Experiment,James Patterson,"","",digital,read,2017/11/16,"","",1,"",,,,,,,,,"",,"",No
The Silmarillion,J.R.R. Tolkien,Christopher Tolkien (Contributor),9780007173020,hardcover,read,2017/11/15,2020/12/17,2020/12/17,3,"",,,,,,,4.0,,"",,"",Yes
The Paper Menagerie and Other Stories,Ken Liu,"",9781481442541,hardcover,read,2022/07/17,2024/09/17,2024/05/25-2024/09/17,1,"dark, emotional, inspiring, reflective",medium,Plot,No,It's complicated,No,It's complicated,4.75,"","","","",No
The Plot Against America,Philip Roth,"",9781400079490,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
The Drawing of the Three,Stephen King,Frank Muller (Narrator),"",audio,read,2016/12/26,2019/07/28,2019/07/28,1,"",,,,,,,4.0,,"",,"",No
The Poet Empress,Shen Tao,"","",digital,to-read,2026/03/03,"","",0,"",,,,,,,,,"",,"",No
Jurassic Park,Michael Crichton,"",9780345538987,paperback,to-read,2026/02/26,"","",1,"",,,,,,,5.0,,"",,"",No
The Sorceress,Michael Scott,"",9780385735292,hardcover,read,2016/12/26,"","",1,"",,,,,,,4.0,,"",,"",No
The Player of Games,Iain M. Banks,"",9780061053566,paperback,read,2022/12/21,2025/04/10,2025/03/28-2025/04/10,1,"challenging, reflective, tense",fast,A mix,Yes,No,No,Yes,4.0,"","","",competence,No
Soulbrand,Andrew Rowe,"",B094NVVNP4,digital,did-not-finish,2022/11/05,"","",0,"",,,,,,,,,"",,"",No
"Bad Astronomy: Misconceptions and Misuses Revealed, from Astrology to the Moon Landing ""hoax""",Philip Plait,"","",,read,2016/12/26,"","",1,"",,,,,,,4.0,,"",,"",No
The Fires of Heaven,Robert Jordan,"Kate Reading (Narrator), Michael Kramer (Narrator)",B0007ZK396,audio,read,2023/07/06,2023/07/22,2023/06/19-2023/07/22,1,"adventurous, emotional, tense",fast,Plot,Yes,Yes,No,Yes,4.0,"","","","",No
Blood Rites,Jim Butcher,"",9780451459879,paperback,read,2020/11/15,2020/11/22,2020/11/22,1,"",,,,,,,4.0,,"",,"",No
"Daredevil by Brian Michael Bendis & Alex Maleev: Ultimate Collection, Book 1",Brian Michael Bendis,Alex Maleev (Illustrator),9780785143888,paperback,read,2025/02/10,2025/02/10,2025/02/01-2025/02/10,1,"dark, emotional, mysterious, tense",fast,Character,It's complicated,It's complicated,No,Yes,4.0,"","","","",No
The Left Hand of Darkness,Ursula K. Le Guin,"",9780441007318,paperback,read,2021/01/20,2024/06/19,2024/06/07-2024/06/19,1,"challenging, emotional, reflective",medium,Plot,Yes,It's complicated,No,Yes,3.25,"","","","",No
Heir to the Empire,Timothy Zahn,"",9781473583580,digital,read,2016/12/26,"","",1,"",,,,,,,5.0,,"",,"",No
Crime and Punishment,Fyodor Dostoevsky,"",9781587263347,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
A Canticle for Leibowitz,"Walter M. Miller, Jr.",Mary Doria Russell (Contributor),9780060892999,paperback,read,2021/06/24,2025/08/16,2025/08/06-2025/08/16,1,"challenging, dark, funny, inspiring, reflective",slow,Plot,No,It's complicated,No,No,4.75,"","","",post-apocalyptic,Yes
Mistborn Trilogy,Brandon Sanderson,"",B004H1TQBW,digital,read,2020/09/23,2020/09/23,2020/09/23,1,"",,,,,,,5.0,,"",,"",No
The Chronicles of Narnia Complete 7-Book Collection: All 7 Books Plus Bonus Book: Boxen,C.S. Lewis,Pauline Baynes (Illustrator),9780062245762,digital,read,2017/12/10,"","",1,"",,,,,,,,,"",,"",No
The Quillan Games,D.J. MacHale,"",,paperback,read,2016/12/26,"","",1,"",,,,,,,5.0,,"",,"",No
Ender's Shadow,Orson Scott Card,"",9780812575712,paperback,read,2023/06/18,2023/06/18,2023/06/13-2023/06/18,1,"dark, emotional, tense",fast,A mix,Yes,It's complicated,No,Yes,4.25,,"","","",No
The Demon-Haunted World: Science as a Candle in the Dark,"Carl Sagan, Ann Druyan","",,,did-not-finish,2017/03/22,"","",0,"",,,,,,,,,"",,"",Yes
The Gate of the Feral Gods,Matt Dinniman,Jeff Hays (Narrator),B09GD882BQ,audio,read,2025/01/21,2025/02/06,2025/01/21-2025/02/06,1,"adventurous, funny, tense",fast,A mix,No,Yes,Yes,No,4.25,"","","","",Yes
The Complete Maus,Art Spiegelman,"",9780141014081,paperback,read,2022/09/11,2022/09/16,2022/09/11-2022/09/16,1,"dark, emotional, reflective, sad",medium,,,,,,5.0,"","Graphic: Child death, Death, Racism, Rape, Slavery, Suicide, Torture, Antisemitism, Kidnapping, Death of parent, Murder, War; ","","",No
Gardens of the Moon,Steven Erikson,"",9780765348784,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
Shadows of Self,Brandon Sanderson,Michael Kramer (Narrator),9781427262240,audio,read,2017/11/15,2022/01/04,2021/12/26-2022/01/04,1,"adventurous, emotional",fast,Plot,No,Yes,No,"",5.0,"","","","",No
"Thor: God of Thunder, Volume 2: Godbomb",Jason Aaron,"Tom Palmer Sr., Esad Ribić, Jackson Butch Guice",9780785168430,hardcover,read,2022/05/29,2022/06/07,2022/05/28-2022/06/07,1,adventurous,fast,Plot,No,Yes,Yes,Yes,4.25,"","","","",No
Frankenstein,Mary Shelley,Maurice Hindle (Contributor),9780141439471,paperback,read,2020/09/24,2025/11/04,2025/11/02-2025/11/04,1,"challenging, dark, mysterious, tense",medium,A mix,Yes,No,No,Yes,3.75,,"","","",No
North and South,John Jakes,"",9780451200815,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
Ring Shout,P. Djèlí Clark,"",9781250767028,hardcover,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,cosmic-horror,No
"An Astronaut's Guide to Life on Earth: What Going to Space Taught Me about Ingenuity, Determination, and Being Prepared for Anything",Chris Hadfield,"",9780316253017,hardcover,read,2019/06/26,"","",1,"",,,,,,,4.0,,"",,"",No
